"dt_name","dt_code","dt_wcm","dt_group","dt_class","dt_cluster","dt_priority","dt_user_selectable","oeeType","fault_code"
"","STA 24 SAFETY SCANNER","","","","LN52states","-1","false","Performance","2122"
"","STA 28 SAFETY SCANNER","","","","LN52states","-1","false","Performance","2123"
"","COM FAULT - CONV ZONE 1","","","","LN52states","-1","false","Performance","5001"
"","COM FAULT - CONV ZONE 3","","","","LN52states","-1","false","Performance","5001"
"","COM FAULT - AGC 1","","","","LN52states","-1","false","Performance","5001"
"","COM FAULT - CONV ZONE 2","","","","LN52states","-1","false","Performance","5001"
"","COM FAULT - AGC 2","","","","LN52states","-1","false","Performance","5002"
"","COM FAULT - AGC 3","","","","LN52states","-1","false","Performance","5003"
"","COM FAULT - AGC 4","","","","LN52states","-1","false","Performance","5004"
"","COM FAULT - AGC 5","","","","LN52states","-1","false","Performance","5005"
"","COM FAULT - AGC 6","","","","LN52states","-1","false","Performance","5006"
"","COM FAULT - AGC 7","","","","LN52states","-1","false","Performance","5007"
"","COM FAULT - AGC 8","","","","LN52states","-1","false","Performance","5008"
"","COM FAULT - AGC 9","","","","LN52states","-1","false","Performance","5009"
"","COM FAULT - AGC 10","","","","LN52states","-1","false","Performance","5010"
"","COM FAULT - AGC 11","","","","LN52states","-1","false","Performance","5011"
"","COM FAULT - AGC 12","","","","LN52states","-1","false","Performance","5012"
"","COM FAULT - AGC 13","","","","LN52states","-1","false","Performance","5013"
"","COM FAULT - AGC 14","","","","LN52states","-1","false","Performance","5014"
"","COM FAULT - PLC CARDS","","","","LN52states","-1","false","Performance","5015"
"","COM FAULT - L51POSTFOAM PLC","","","","LN52states","-1","false","Performance","5016"
"","COM FAULT - L52CONV PLC","","","","LN52states","-1","false","Performance","5017"
"","COM FAULT - EFLEX","","","","LN52states","-1","false","Performance","5018"
"","COM FAULT - SAM","","","","LN52states","-1","false","Performance","5019"
"","COM FAULT - EFLEX MODULE","","","","LN52states","-1","false","Performance","5020"
"","STARVED- LOAD STA.","","","","LN52states","-1","false","Performance","10001"
"","ZONE 3 BLOCKED BY PICKUP","","","","LN52states","-1","false","Performance","10001"
"","CONV ZONE 1 BLOCKED BY TCI","","","","LN52states","-1","false","Performance","10001"
"","BLOCKED BY CONV ZONE 3","","","","LN52states","-1","false","Performance","10001"
"","STARVED - VISION STA.","","","","LN52states","-1","false","Performance","10002"
"","STARVED- STA 1","","","","LN52states","-1","false","Performance","10003"
"","STARVED- STA 2","","","","LN52states","-1","false","Performance","10004"
"","STARVED- STA 3","","","","LN52states","-1","false","Performance","10005"
"","STARVED- STA 4","","","","LN52states","-1","false","Performance","10006"
"","STARVED- STA 5","","","","LN52states","-1","false","Performance","10007"
"","STARVED- STA 6","","","","LN52states","-1","false","Performance","10008"
"","STARVED- STA 7","","","","LN52states","-1","false","Performance","10009"
"","STARVED - UNLOAD STA","","","","LN52states","-1","false","Performance","10010"
"","STA 11 BLOCKED BY CHRG STA","","","","LN52states","-1","false","Performance","10101"
"","STA 41 BLOCKED - REPAIR/CV3","","","","LN52states","-1","false","Performance","10101"
"","STA 31 BLOCKED BY REPAIR","","","","LN52states","-1","false","Performance","10101"
"","STA 32 BLOCKED BY REPAIR","","","","LN52states","-1","false","Performance","10102"
"","STA 42 BLOCKED BY REPAIR","","","","LN52states","-1","false","Performance","10102"
"","STA 33 BLOCKED BY TCI","","","","LN52states","-1","false","Performance","10103"
"","CHRG STA BLOCKED BY STA 24","","","","LN52states","-1","false","Performance","10107"
"","CHRG STA BLOCKED BY STA 24","","","","LN52states","-1","false","Performance","10110"
"","TCI BLOCKED - REPAIR / CV3","","","","LN52states","-1","false","Performance","10110"
"","STA 24 BLOCKED BY STA 28","","","","LN52states","-1","false","Performance","10114"
"","STA 56 BLOCKED BY PICKUP","","","","LN52states","-1","false","Performance","10116"
"","WAITING ON PICKUP @ EOL","","","","LN52states","-1","false","Performance","10117"
"","STA 28 BLOCKED BY TCI","","","","LN52states","-1","false","Performance","10118"
"","CONV ZONE 1 BLOCKED BY TCI","","","","LN52states","-1","false","Performance","10120"
"","CONV ZONE 1 STARVED BY AGC","","","","LN52states","-1","false","Performance","10201"
"","ZONE 3 STARVED BY TCI","","","","LN52states","-1","false","Performance","10201"
"","STARVED BY CONV ZONE 1","","","","LN52states","-1","false","Performance","10201"
"","TCI ZONE STARVED","","","","LN52states","-1","false","Performance","10202"
"","CONV ZONE 3 STARVED","","","","LN52states","-1","false","Performance","10202"
"","CONV ZONE 1 STARVED","","","","LN52states","-1","false","Performance","10202"
"","STA 11 STARVED BY AGC ZONE","","","","LN52states","-1","false","Performance","10301"
"","STA 41 STARVED BY TCI","","","","LN52states","-1","false","Performance","10301"
"","STA 31 STARVED BY CONV ZONE 1","","","","LN52states","-1","false","Performance","10301"
"","STA 47 STARVED BY TCI","","","","LN52states","-1","false","Performance","10307"
"","CHARGE STA STARVED BY TIPUP","","","","LN52states","-1","false","Performance","10307"
"","STA 24 STARVED BY CHRG STA","","","","LN52states","-1","false","Performance","10314"
"","STA 28 STARVED BY STA 24","","","","LN52states","-1","false","Performance","10318"
"","BLOCKED - LOAD STA","","","","LN52states","-1","false","Performance","11001"
"","BLOCKED - VISION STA","","","","LN52states","-1","false","Performance","11002"
"","BLOCKED- STA 1","","","","LN52states","-1","false","Performance","11003"
"","BLOCKED- STA 2","","","","LN52states","-1","false","Performance","11004"
"","BLOCKED- STA 3","","","","LN52states","-1","false","Performance","11005"
"","BLOCKED- STA 4","","","","LN52states","-1","false","Performance","11006"
"","BLOCKED- STA 5","","","","LN52states","-1","false","Performance","11007"
"","BLOCKED- STA 6","","","","LN52states","-1","false","Performance","11008"
"","BLOCKED- STA 7","","","","LN52states","-1","false","Performance","11009"
"","BLOCKED - UNLOAD STA","","","","LN52states","-1","false","Performance","11010"
"","BLOCKED - MAINT. STA","","","","LN52states","-1","false","Performance","11011"
"","ZONE DOWN - LOAD STA","","","","LN52states","-1","false","Performance","12001"
"","HELP CALL - STA 11","","","","LN52states","-1","false","Performance","12001"
"","HELP CALL - STA 47","","","","LN52states","-1","false","Performance","12001"
"","HELP CALL - STA 40 TCI","","","","LN52states","-1","false","Performance","12001"
"","HELP CALL - STA 51","","","","LN52states","-1","false","Performance","12002"
"","HELP CALL - CHARGE STA","","","","LN52states","-1","false","Performance","12002"
"","ZONE DOWN - VISION STA","","","","LN52states","-1","false","Performance","12002"
"","ZONE DOWN - STA 1","","","","LN52states","-1","false","Performance","12003"
"","HELP CALL - STA 24","","","","LN52states","-1","false","Performance","12003"
"","HELP CALL - STA 55","","","","LN52states","-1","false","Performance","12003"
"","HELP CALL - STA 28","","","","LN52states","-1","false","Performance","12004"
"","ZONE DOWN - STA 2","","","","LN52states","-1","false","Performance","12004"
"","ZONE DOWN - STA 2 SUB-ASM","","","","LN52states","-1","false","Performance","12005"
"","ZONE DOWN - STA 4","","","","LN52states","-1","false","Performance","12006"
"","ZONE DOWN - STA 5","","","","LN52states","-1","false","Performance","12007"
"","ZONE DOWN - STA 6","","","","LN52states","-1","false","Performance","12008"
"","ZONE DOWN - STA 7","","","","LN52states","-1","false","Performance","12009"
"","ZONE DOWN - UNLOAD STA","","","","LN52states","-1","false","Performance","12010"
"","ZONE DOWN - STA 3","","","","LN52states","-1","false","Performance","12011"
"","ZONE DOWN - STA 4-5 SUB-ASM","","","","LN52states","-1","false","Performance","12012"
"","NO UNIT AT POST FOAM ","","","","LN52states","-1","false","Performance","12013"
"","BLOCKED BY CONVEYOR ZONE 1","","","","LN52states","-1","false","Performance","12014"
"","BARCODE NOT VALID - LOAD STA","","","","LN52states","-1","false","Performance","12016"
"","STA 11 ANDON PAST TAKT","","","","LN52states","-1","false","Performance","12051"
"","STATION DOWN - STA 47","","","","LN52states","-1","false","Performance","12051"
"","STA 40 TCI ANDON PAST TAKT","","","","LN52states","-1","false","Performance","12051"
"","STATION DOWN - STA 51","","","","LN52states","-1","false","Performance","12052"
"","CHRG STA ANDON PAST TAKT","","","","LN52states","-1","false","Performance","12052"
"","STA 24 ANDON PAST TAKT","","","","LN52states","-1","false","Performance","12053"
"","STATION DOWN - STA 55","","","","LN52states","-1","false","Performance","12053"
"","STA 28 ANDON PAST TAKT","","","","LN52states","-1","false","Performance","12054"
"","CYCLE STOP - STA 11","","","","LN52states","-1","false","Performance","12101"
"","CYCLE STOP - STA 47","","","","LN52states","-1","false","Performance","12101"
"","NOT COMPLETE - LOAD STA","","","","LN52states","-1","false","Performance","12101"
"","CYCLE STOP - STA 40 TCI","","","","LN52states","-1","false","Performance","12101"
"","NOT COMPLETE VISION STA","","","","LN52states","-1","false","Performance","12102"
"","CYCLE STOP- STA 51","","","","LN52states","-1","false","Performance","12102"
"","CYCLE STOP - CHARGE STA","","","","LN52states","-1","false","Performance","12102"
"","CYCLE STOP - STA 24","","","","LN52states","-1","false","Performance","12103"
"","CYCLE STOP - STA 55","","","","LN52states","-1","false","Performance","12103"
"","STATION 1 NOT COMPLETE","","","","LN52states","-1","false","Performance","12103"
"","STATION 2 NOT COMPLETE","","","","LN52states","-1","false","Performance","12104"
"","CYCLE STOP - STA 28","","","","LN52states","-1","false","Performance","12104"
"","STATION 3 NOT COMPLETE","","","","LN52states","-1","false","Performance","12105"
"","STATION 4 NOT COMPLETE","","","","LN52states","-1","false","Performance","12106"
"","STATION 5 NOT COMPLETE","","","","LN52states","-1","false","Performance","12107"
"","STATION 6 NOT COMPLETE","","","","LN52states","-1","false","Performance","12108"
"","STATION 7 NOT COMPLETE","","","","LN52states","-1","false","Performance","12109"
"","BLOCKED - CONVEYOR ZONE 1","","","","LN52states","-1","false","Performance","12110"
"","HELP CALL - LOAD STA","","","","LN52states","-1","false","Performance","12201"
"","HELP CALL - VISION STA","","","","LN52states","-1","false","Performance","12202"
"","HELP CALL - STA 1","","","","LN52states","-1","false","Performance","12203"
"","HELP CALL - STA 2","","","","LN52states","-1","false","Performance","12204"
"","HELP CALL - STA 2 SUB-ASM","","","","LN52states","-1","false","Performance","12205"
"","HELP CALL - STA 4","","","","LN52states","-1","false","Performance","12206"
"","HELP CALL - STA 5","","","","LN52states","-1","false","Performance","12207"
"","HELP CALL - STA 6","","","","LN52states","-1","false","Performance","12208"
"","HELP CALL - STA 7","","","","LN52states","-1","false","Performance","12209"
"","HELP CALL - UNLOAD STA","","","","LN52states","-1","false","Performance","12210"
"","HELP CALL - STA 3","","","","LN52states","-1","false","Performance","12211"
"","HELP CALL - STA 4-5 SUB-ASM","","","","LN52states","-1","false","Performance","12212"
"","EFLEX FAULT - LOAD STA","","","","LN52states","-1","false","Performance","12301"
"","EFLEX FAULT - VISION STA","","","","LN52states","-1","false","Performance","12302"
"","EFLEX FAULT- STA 1","","","","LN52states","-1","false","Performance","12303"
"","EFLEX FAULT- STA 2","","","","LN52states","-1","false","Performance","12304"
"","EFLEX FAULT- STA 3","","","","LN52states","-1","false","Performance","12305"
"","EFLEX FAULT- STA 4","","","","LN52states","-1","false","Performance","12306"
"","EFLEX FAULT- STA 5","","","","LN52states","-1","false","Performance","12307"
"","EFLEX FAULT- STA 6","","","","LN52states","-1","false","Performance","12308"
"","EFLEX FAULT- STA 7","","","","LN52states","-1","false","Performance","12309"
"","SCHEDULED RUN - START LINE","","","","LN52states","-1","false","Performance","12400"
"","NO SIGNAL - EFLEX LOAD","","","","LN52states","-1","false","Performance","12401"
"","NO SIGNAL - EFLEX VISION STA","","","","LN52states","-1","false","Performance","12402"
"","NO SIGNAL - EFLEX STA 1","","","","LN52states","-1","false","Performance","12403"
"","NO SIGNAL - EFLEX STA 2","","","","LN52states","-1","false","Performance","12404"
"","NO SIGNAL - EFLEX STA 3","","","","LN52states","-1","false","Performance","12405"
"","NO SIGNAL - EFLEX STA 4","","","","LN52states","-1","false","Performance","12406"
"","NO SIGNAL - EFLEX STA 5","","","","LN52states","-1","false","Performance","12407"
"","NO SIGNAL - EFLEX STA 6","","","","LN52states","-1","false","Performance","12408"
"","NO SIGNAL - EFLEX STA 7","","","","LN52states","-1","false","Performance","12409"
"","NO SIGNAL - UNLOAD STA","","","","LN52states","-1","false","Performance","12410"
"","NO SERIAL # AT LOAD STA","","","","LN52states","-1","false","Performance","12420"
"","NO SERIAL # AT STA 1","","","","LN52states","-1","false","Performance","12421"
"","NO SERIAL # AT STA 2","","","","LN52states","-1","false","Performance","12422"
"","NO SERIAL # AT STA 3","","","","LN52states","-1","false","Performance","12423"
"","NO SERIAL # AT STA 4","","","","LN52states","-1","false","Performance","12424"
"","NO SERIAL # AT STA 5","","","","LN52states","-1","false","Performance","12425"
"","NO SERIAL # AT STA 6","","","","LN52states","-1","false","Performance","12426"
"","NO SERIAL # AT UNLOAD STA","","","","LN52states","-1","false","Performance","12427"
"","STA 11 NOT COMPLETE","","","","LN52states","-1","false","Performance","12501"
"","STA 47 NOT COMPLETE","","","","LN52states","-1","false","Performance","12501"
"","REPAIR IN NOT CLEAR","","","","LN52states","-1","false","Performance","12501"
"","REPAIR OUT NOT CLEAR","","","","LN52states","-1","false","Performance","12502"
"","STA 51 NOT COMPLETE","","","","LN52states","-1","false","Performance","12502"
"","CHARGE STA NOT COMPLETE","","","","LN52states","-1","false","Performance","12502"
"","CHARGE STA NOT COMPLETE","","","","LN52states","-1","false","Performance","12503"
"","STA 55 NOT COMPLETE","","","","LN52states","-1","false","Performance","12503"
"","TCI STA 40 NOT COMPLETE","","","","LN52states","-1","false","Performance","12503"
"","STA 56 NOT COMPLETE","","","","LN52states","-1","false","Performance","12504"
"","CHARGE STA NOT COMPLETE","","","","LN52states","-1","false","Performance","12504"
"","CHARGE STA NOT COMPLETE","","","","LN52states","-1","false","Performance","12505"
"","REPAIR IN/OUT NOT COMPLETE","","","","LN52states","-1","false","Performance","12505"
"","STA 24 NOT COMPLETE","","","","LN52states","-1","false","Performance","12506"
