"","Fault Code","Event Description","zoneID"
"Conveyor Zone 2","1110","ELEC FAULT - STA 40","7"
"Conveyor Zone 1","1110","ELEC FAULT - STA 20","6"
"Conveyor Zone 3","1110","ELEC FAULT - STA 50","8"
"Conveyor Zone 3","1111","ELEC FAULT - STA 51","8"
"Conveyor Zone 1","1111","ELEC FAULT - STA 21","6"
"Conveyor Zone 2","1111","ELEC FAULT - REPAIR IN","7"
"Conveyor Zone 2","1112","ELEC FAULT - REPAIR OUT","7"
"Conveyor Zone 1","1112","ELEC FAULT - STA 22","6"
"Conveyor Zone 3","1112","ELEC FAULT - STA 52","8"
"Conveyor Zone 3","1113","ELEC FAULT - STA 53","8"
"Conveyor Zone 1","1113","ELEC FAULT - STA 23","6"
"Conveyor Zone 2","1113","ELEC FAULT - TCI","7"
"Conveyor Zone 1","1114","ELEC FAULT - STA 24","6"
"Conveyor Zone 3","1114","ELEC FAULT - STA 54","8"
"Conveyor Zone 3","1115","ELEC FAULT - STA 55","8"
"Conveyor Zone 1","1115","ELEC FAULT - STA 25","6"
"Conveyor Zone 1","1116","ELEC FAULT - STA 26","6"
"Conveyor Zone 3","1116","ELEC FAULT - STA 56","8"
"Conveyor Zone 3","1117","ELEC FAULT - STA 57","8"
"Conveyor Zone 1","1117","ELEC FAULT - STA 27","6"
"Conveyor Zone 1","1118","ELEC FAULT - STA 28","6"
"Conveyor Zone 3","1118","ELEC FAULT - STA 58","8"
"Conveyor Zone 3","1119","ELEC FAULT - STA 59","8"
"Conveyor Zone 1","1119","ELEC FAULT - STA 29","6"
"Conveyor Zone 1","1120","ELEC FAULT - STA 30","6"
"Conveyor Zone 3","1120","ELEC FAULT - STA 60","8"
"Conveyor Zone 3","1121","ELEC FAULT - REPAIR IN/OUT","8"
"Oberon AGC","1201","PROCESS FAULT - LOAD STA","5"
"Oberon AGC","1202","PROCESS FAULT - VISION STA","5"
"Oberon AGC","1203","PROCESS FAULT - STA 1","5"
"Oberon AGC","1204","PROCESS FAULT - STA 2","5"
"Oberon AGC","1205","PROCESS FAULT - STA 3","5"
"Oberon AGC","1206","PROCESS FAULT - STA 4","5"
"Oberon AGC","1207","PROCESS FAULT - STA 5","5"
"Oberon AGC","1208","PROCESS FAULT - STA 6","5"
"Oberon AGC","1209","PROCESS FAULT - STA 7","5"
"Oberon AGC","1210","PROCESS FAULT - UNLOAD","5"
"Oberon AGC","1211","PROCESS FAULT - LOAD HLDBACK","5"
"Oberon AGC","1212","PROCESS FAULT - VISION HLDBACK","5"
"Oberon AGC","1213","NO PART AT STA 1 HOLDBACK","5"
"Oberon AGC","1214","PROCESS FAULT - UNLOAD HLDBACK","5"
"Oberon AGC","1301","ESTOP - AGC 1","5"
"Oberon AGC","1302","ESTOP - AGC 2","5"
"Oberon AGC","1303","ESTOP - AGC 3","5"
"Oberon AGC","1304","ESTOP - AGC 4","5"
"Oberon AGC","1305","ESTOP - AGC 5","5"
"Oberon AGC","1306","ESTOP - AGC 6","5"
"Oberon AGC","1307","ESTOP - AGC 7","5"
"Oberon AGC","1308","ESTOP - AGC 8","5"
"Oberon AGC","1309","ESTOP - AGC 9","5"
"Oberon AGC","1310","ESTOP - AGC 10","5"
"Oberon AGC","1311","ESTOP - AGC 11","5"
"Oberon AGC","1312","ESTOP - AGC 12","5"
"Oberon AGC","1313","ESTOP - AGC 13","5"
"Oberon AGC","1314","ESTOP - AGC 14","5"
"Oberon AGC","1401","SEND AGC 1 TO MAINT","5"
"Oberon AGC","1402","SEND AGC 2 TO MAINT","5"
"Oberon AGC","1403","SEND AGC 3 TO MAINT","5"
"Oberon AGC","1404","SEND AGC 4 TO MAINT","5"
"Oberon AGC","1405","SEND AGC 5 TO MAINT","5"
"Oberon AGC","1406","SEND AGC 6 TO MAINT","5"
"Oberon AGC","1407","SEND AGC 7 TO MAINT","5"
"Oberon AGC","1408","SEND AGC 8 TO MAINT","5"
"Oberon AGC","1409","SEND AGC 9 TO MAINT","5"
"Oberon AGC","1410","SEND AGC 10 TO MAINT","5"
